Variable,Value,Year,Date,DOY
ETo,1.1835,1981,19810814,226
ETo,1.2075,1981,19810819,231
ETo,1.2755,1981,19810824,236
ETo,1.2106,1981,19810829,241
ETo,0.9881,1981,19810903,246
ETo,0.959,1981,19810908,251
ETo,1.0139,1981,19810913,256
ETo,0.9909,1981,19810918,261
ETo,0.6359,1981,19810923,266
ETo,0.6669,1981,19810928,271
ETo,0.5316,1981,19811003,276
ETo,0.3415,1981,19811008,281
ETo,0.3059,1981,19811013,286
ETo,0.3937,1981,19811018,291
ETo,0.4545,1981,19811023,296
ETo,0.3347,1981,19811028,301
ETo,0.3212,1981,19811102,306
ETo,0.2651,1981,19811107,311
ETo,0.2166,1981,19811112,316
ETo,0.2409,1981,19811117,321
ETo,0.1317,1981,19811122,326
ETo,0.0679,1981,19811127,331
ETo,0.2035,1981,19811202,336
ETo,0.2436,1981,19811207,341
ETo,0.1544,1981,19811212,346
ETo,0.117,1981,19811217,351
ETo,0.0625,1981,19811222,356
ETo,0.0841,1981,19811227,361
ETo,0.0997,1982,19820101,1
ETo,0.0869,1982,19820106,6
ETo,0.0933,1982,19820111,11
ETo,0.1367,1982,19820116,16
ETo,0.1261,1982,19820121,21
ETo,0.1681,1982,19820126,26
ETo,0.119,1982,19820131,31
ETo,0.0862,1982,19820205,36
ETo,0.1569,1982,19820210,41
ETo,0.2406,1982,19820215,46
ETo,0.3139,1982,19820220,51
ETo,0.3683,1982,19820225,56
ETo,0.2565,1982,19820302,61
ETo,0.3913,1982,19820307,66
ETo,0.3398,1982,19820312,71
ETo,0.2776,1982,19820317,76
ETo,0.423,1982,19820322,81
ETo,0.429,1982,19820327,86
ETo,0.4164,1982,19820401,91
ETo,0.4234,1982,19820406,96
ETo,0.6355,1982,19820411,101
ETo,0.5663,1982,19820416,106
ETo,0.8557,1982,19820421,111
ETo,0.7944,1982,19820426,116
ETo,0.9718,1982,19820501,121
ETo,0.7207,1982,19820506,126
ETo,0.7711,1982,19820511,131
ETo,0.8675,1982,19820516,136
ETo,1.0197,1982,19820521,141
ETo,0.8303,1982,19820526,146
ETo,0.8367,1982,19820531,151
ETo,0.7517,1982,19820605,156
ETo,0.9956,1982,19820610,161
ETo,1.0784,1982,19820615,166
ETo,1.0915,1982,19820620,171
ETo,1.2759,1982,19820625,176
ETo,1.0091,1982,19820630,181
ETo,0.9779,1982,19820705,186
ETo,1.2224,1982,19820710,191
ETo,1.2915,1982,19820715,196
ETo,1.3317,1982,19820720,201
ETo,0.9909,1982,19820725,206
ETo,1.238,1982,19820730,211
ETo,1.1413,1982,19820804,216
ETo,1.192,1982,19820809,221
ETo,1.2097,1982,19820814,226
ETo,1.1518,1982,19820819,231
ETo,1.065,1982,19820824,236
ETo,0.9611,1982,19820829,241
ETo,0.964,1982,19820903,246
ETo,0.8983,1982,19820908,251
ETo,0.4718,1982,19820913,256
ETo,0.6895,1982,19820918,261
ETo,0.476,1982,19820923,266
ETo,0.3516,1982,19820928,271
ETo,0.5252,1982,19821003,276
ETo,0.4056,1982,19821008,281
ETo,0.5123,1982,19821013,286
ETo,0.3857,1982,19821018,291
ETo,0.3154,1982,19821023,296
ETo,0.1816,1982,19821028,301
ETo,0.2701,1982,19821102,306
ETo,0.233,1982,19821107,311
ETo,0.1622,1982,19821112,316
ETo,0.1662,1982,19821117,321
ETo,0.1012,1982,19821122,326
ETo,0.0818,1982,19821127,331
ETo,0.0657,1982,19821202,336
ETo,0.0869,1982,19821207,341
ETo,0.0824,1982,19821212,346
ETo,0.1665,1982,19821217,351
ETo,0.1043,1982,19821222,356
ETo,0.053,1982,19821227,361
ETo,0.0945,1983,19830101,1
ETo,0.1623,1983,19830106,6
ETo,0.202,1983,19830111,11
ETo,0.1147,1983,19830116,16
ETo,0.1044,1983,19830121,21
ETo,0.1619,1983,19830126,26
ETo,0.1099,1983,19830131,31
ETo,0.1418,1983,19830205,36
ETo,0.1805,1983,19830210,41
ETo,0.2601,1983,19830215,46
ETo,0.3094,1983,19830220,51
ETo,0.29,1983,19830225,56
ETo,0.365,1983,19830302,61
ETo,0.4025,1983,19830307,66
ETo,0.3441,1983,19830312,71
ETo,0.2901,1983,19830317,76
ETo,0.3285,1983,19830322,81
ETo,0.395,1983,19830327,86
ETo,0.383,1983,19830401,91
ETo,0.4652,1983,19830406,96
ETo,0.4351,1983,19830411,101
ETo,0.7072,1983,19830416,106
ETo,0.6342,1983,19830421,111
ETo,0.558,1983,19830426,116
ETo,0.6658,1983,19830501,121
ETo,0.6982,1983,19830506,126
ETo,0.5125,1983,19830511,131
ETo,0.7089,1983,19830516,136
ETo,1.0745,1983,19830521,141
ETo,1.1996,1983,19830526,146
ETo,0.8101,1983,19830531,151
ETo,0.9895,1983,19830605,156
ETo,0.913,1983,19830610,161
ETo,1.1253,1983,19830615,166
ETo,1.1749,1983,19830620,171
ETo,1.1004,1983,19830625,176
ETo,0.9513,1983,19830630,181
ETo,1.5208,1983,19830705,186
ETo,1.1411,1983,19830710,191
ETo,1.2038,1983,19830715,196
ETo,1.239,1983,19830720,201
ETo,1.2937,1983,19830725,206
ETo,1.2084,1983,19830730,211
ETo,1.2217,1983,19830804,216
ETo,1.0636,1983,19830809,221
ETo,0.8961,1983,19830814,226
ETo,0.712,1983,19830819,231
ETo,1.1408,1983,19830824,236
ETo,1.1685,1983,19830829,241
ETo,1.0703,1983,19830903,246
ETo,0.9452,1983,19830908,251
ETo,1.0771,1983,19830913,256
ETo,0.7549,1983,19830918,261
ETo,0.7129,1983,19830923,266
ETo,0.4196,1983,19830928,271
ETo,0.5901,1983,19831003,276
ETo,0.4749,1983,19831008,281
ETo,0.3529,1983,19831013,286
ETo,0.462,1983,19831018,291
ETo,0.3869,1983,19831023,296
ETo,0.3555,1983,19831028,301
ETo,0.2827,1983,19831102,306
ETo,0.2383,1983,19831107,311
ETo,0.2629,1983,19831112,316
ETo,0.1421,1983,19831117,321
ETo,0.0721,1983,19831122,326
ETo,0.0663,1983,19831127,331
ETo,0.106,1983,19831202,336
ETo,0.1652,1983,19831207,341
ETo,0.1167,1983,19831212,346
ETo,0.0855,1983,19831217,351
ETo,0.0755,1983,19831222,356
ETo,0.076,1983,19831227,361
ETo,0.0598,1984,19840101,1
ETo,0.0626,1984,19840106,6
ETo,0.0638,1984,19840111,11
ETo,0.0557,1984,19840116,16
ETo,0.0697,1984,19840121,21
ETo,0.1158,1984,19840126,26
ETo,0.1161,1984,19840131,31
ETo,0.1232,1984,19840205,36
ETo,0.1045,1984,19840210,41
ETo,0.1186,1984,19840215,46
ETo,0.1365,1984,19840220,51
ETo,0.1748,1984,19840225,56
ETo,0.1812,1984,19840301,61
ETo,0.209,1984,19840306,66
ETo,0.2877,1984,19840311,71
ETo,0.2805,1984,19840316,76
ETo,0.3954,1984,19840321,81
ETo,0.3909,1984,19840326,86
ETo,0.4711,1984,19840331,91
ETo,0.5725,1984,19840405,96
ETo,0.4919,1984,19840410,101
ETo,0.7623,1984,19840415,106
ETo,0.5877,1984,19840420,111
ETo,0.4946,1984,19840425,116
ETo,0.5809,1984,19840430,121
ETo,0.7932,1984,19840505,126
ETo,1.0073,1984,19840510,131
ETo,0.8958,1984,19840515,136
ETo,1.0683,1984,19840520,141
ETo,1.0027,1984,19840525,146
ETo,1.0532,1984,19840530,151
ETo,0.6186,1984,19840604,156
ETo,0.7636,1984,19840609,161
ETo,1.0545,1984,19840614,166
ETo,1.0942,1984,19840619,171
ETo,1.3317,1984,19840624,176
ETo,1.3108,1984,19840629,181
ETo,1.3736,1984,19840704,186
ETo,1.2996,1984,19840709,191
ETo,1.3341,1984,19840714,196
ETo,1.0325,1984,19840719,201
ETo,1.0953,1984,19840724,206
ETo,0.9321,1984,19840729,211
ETo,1.1654,1984,19840803,216
ETo,1.0802,1984,19840808,221
ETo,0.9983,1984,19840813,226
ETo,1.0288,1984,19840818,231
ETo,1.0891,1984,19840823,236
ETo,1.0675,1984,19840828,241
ETo,1.046,1984,19840902,246
ETo,0.8644,1984,19840907,251
ETo,0.8907,1984,19840912,256
ETo,0.8078,1984,19840917,261
ETo,0.5366,1984,19840922,266
ETo,0.6642,1984,19840927,271
ETo,0.6103,1984,19841002,276
ETo,0.633,1984,19841007,281
ETo,0.3765,1984,19841012,286
ETo,0.1577,1984,19841017,291
ETo,0.1943,1984,19841022,296
ETo,0.2515,1984,19841027,301
ETo,0.2841,1984,19841101,306
ETo,0.2155,1984,19841106,311
ETo,0.3073,1984,19841111,316
ETo,0.179,1984,19841116,321
ETo,0.1795,1984,19841121,326
ETo,0.0627,1984,19841126,331
ETo,0.0962,1984,19841201,336
ETo,0.1289,1984,19841206,341
ETo,0.0917,1984,19841211,346
ETo,0.0683,1984,19841216,351
ETo,0.0846,1984,19841221,356
ETo,0.0936,1984,19841226,361
ETo,0.0121,1984,19841231,366
ETo,0.0771,1985,19850101,1
ETo,0.0698,1985,19850106,6
ETo,0.0748,1985,19850111,11
ETo,0.0859,1985,19850116,16
ETo,0.0836,1985,19850121,21
ETo,0.0883,1985,19850126,26
ETo,0.0742,1985,19850131,31
ETo,0.1332,1985,19850205,36
ETo,0.1487,1985,19850210,41
ETo,0.1716,1985,19850215,46
ETo,0.1592,1985,19850220,51
ETo,0.1774,1985,19850225,56
ETo,0.1609,1985,19850302,61
ETo,0.2175,1985,19850307,66
ETo,0.274,1985,19850312,71
ETo,0.3249,1985,19850317,76
ETo,0.3444,1985,19850322,81
ETo,0.2898,1985,19850327,86
ETo,0.6229,1985,19850401,91
ETo,0.6999,1985,19850406,96
ETo,0.8354,1985,19850411,101
ETo,0.89,1985,19850416,106
ETo,0.5893,1985,19850421,111
ETo,0.9152,1985,19850426,116
ETo,1.1841,1985,19850501,121
ETo,0.9966,1985,19850506,126
ETo,0.7067,1985,19850511,131
ETo,0.9742,1985,19850516,136
ETo,1.0572,1985,19850521,141
ETo,0.9381,1985,19850526,146
ETo,0.8501,1985,19850531,151
ETo,1.2352,1985,19850605,156
ETo,1.2395,1985,19850610,161
ETo,1.3542,1985,19850615,166
ETo,1.5018,1985,19850620,171
ETo,1.1364,1985,19850625,176
ETo,1.3613,1985,19850630,181
ETo,1.3659,1985,19850705,186
ETo,1.2525,1985,19850710,191
ETo,1.2966,1985,19850715,196
ETo,1.1036,1985,19850720,201
ETo,1.1955,1985,19850725,206
ETo,1.1401,1985,19850730,211
ETo,1.366,1985,19850804,216
ETo,1.1232,1985,19850809,221
ETo,1.2321,1985,19850814,226
ETo,1.1922,1985,19850819,231
ETo,1.2643,1985,19850824,236
ETo,1.0564,1985,19850829,241
ETo,0.8933,1985,19850903,246
ETo,0.7221,1985,19850908,251
ETo,0.7505,1985,19850913,256
ETo,0.5458,1985,19850918,261
ETo,0.7068,1985,19850923,266
ETo,0.5481,1985,19850928,271
ETo,0.6186,1985,19851003,276
ETo,0.334,1985,19851008,281
ETo,0.4961,1985,19851013,286
ETo,0.5574,1985,19851018,291
ETo,0.3681,1985,19851023,296
ETo,0.4185,1985,19851028,301
ETo,0.4191,1985,19851102,306
ETo,0.2106,1985,19851107,311
ETo,0.0722,1985,19851112,316
ETo,0.0737,1985,19851117,321
ETo,0.0748,1985,19851122,326
ETo,0.061,1985,19851127,331
ETo,0.0623,1985,19851202,336
ETo,0.0408,1985,19851207,341
ETo,0.0379,1985,19851212,346
ETo,0.0528,1985,19851217,351
ETo,0.0461,1985,19851222,356
ETo,0.0365,1985,19851227,361
ETo,0.0737,1986,19860101,1
ETo,0.0961,1986,19860106,6
ETo,0.1379,1986,19860111,11
ETo,0.1044,1986,19860116,16
ETo,0.1106,1986,19860121,21
ETo,0.1586,1986,19860126,26
ETo,0.1708,1986,19860131,31
ETo,0.1363,1986,19860205,36
ETo,0.1524,1986,19860210,41
ETo,0.2637,1986,19860215,46
ETo,0.2842,1986,19860220,51
ETo,0.4439,1986,19860225,56
ETo,0.4116,1986,19860302,61
ETo,0.3705,1986,19860307,66
ETo,0.3142,1986,19860312,71
ETo,0.4115,1986,19860317,76
ETo,0.5844,1986,19860322,81
ETo,0.8134,1986,19860327,86
ETo,0.5138,1986,19860401,91
ETo,0.5497,1986,19860406,96
ETo,0.5284,1986,19860411,101
ETo,0.6271,1986,19860416,106
ETo,0.7733,1986,19860421,111
ETo,0.53,1986,19860426,116
ETo,1.0437,1986,19860501,121
ETo,0.5722,1986,19860506,126
ETo,0.6713,1986,19860511,131
ETo,1.0138,1986,19860516,136
ETo,0.8888,1986,19860521,141
ETo,1.1972,1986,19860526,146
ETo,1.167,1986,19860531,151
ETo,0.937,1986,19860605,156
ETo,1.1688,1986,19860610,161
ETo,1.3848,1986,19860615,166
ETo,1.1778,1986,19860620,171
ETo,1.5051,1986,19860625,176
ETo,1.3923,1986,19860630,181
ETo,1.0926,1986,19860705,186
ETo,1.1888,1986,19860710,191
ETo,1.249,1986,19860715,196
ETo,1.2259,1986,19860720,201
ETo,1.1869,1986,19860725,206
ETo,1.2079,1986,19860730,211
ETo,1.2282,1986,19860804,216
ETo,1.2167,1986,19860809,221
ETo,1.2242,1986,19860814,226
ETo,1.0082,1986,19860819,231
ETo,1.0267,1986,19860824,236
ETo,0.8483,1986,19860829,241
ETo,0.8901,1986,19860903,246
ETo,0.7569,1986,19860908,251
ETo,0.765,1986,19860913,256
ETo,0.4492,1986,19860918,261
ETo,0.4493,1986,19860923,266
ETo,0.3456,1986,19860928,271
ETo,0.4813,1986,19861003,276
ETo,0.5423,1986,19861008,281
ETo,0.5196,1986,19861013,286
ETo,0.3045,1986,19861018,291
ETo,0.4069,1986,19861023,296
ETo,0.3098,1986,19861028,301
ETo,0.3211,1986,19861102,306
ETo,0.0931,1986,19861107,311
ETo,0.223,1986,19861112,316
ETo,0.2905,1986,19861117,321
ETo,0.1858,1986,19861122,326
ETo,0.2815,1986,19861127,331
ETo,0.1878,1986,19861202,336
ETo,0.0668,1986,19861207,341
ETo,0.1374,1986,19861212,346
ETo,0.1062,1986,19861217,351
ETo,0.0941,1986,19861222,356
ETo,0.0843,1986,19861227,361
ETo,0.1189,1987,19870101,1
ETo,0.0658,1987,19870106,6
ETo,0.1032,1987,19870111,11
ETo,0.0748,1987,19870116,16
ETo,0.1095,1987,19870121,21
ETo,0.23,1987,19870126,26
ETo,0.1969,1987,19870131,31
ETo,0.2513,1987,19870205,36
ETo,0.2517,1987,19870210,41
ETo,0.1887,1987,19870215,46
ETo,0.1866,1987,19870220,51
ETo,0.203,1987,19870225,56
ETo,0.502,1987,19870302,61
ETo,0.3623,1987,19870307,66
ETo,0.4037,1987,19870312,71
ETo,0.3992,1987,19870317,76
ETo,0.4741,1987,19870322,81
ETo,0.4647,1987,19870327,86
ETo,0.7511,1987,19870401,91
ETo,0.7802,1987,19870406,96
ETo,0.8206,1987,19870411,101
ETo,0.8959,1987,19870416,106
ETo,1.0595,1987,19870421,111
ETo,1.037,1987,19870426,116
ETo,0.8305,1987,19870501,121
ETo,1.1115,1987,19870506,126
ETo,1.1241,1987,19870511,131
ETo,0.561,1987,19870516,136
ETo,0.8001,1987,19870521,141
ETo,0.8413,1987,19870526,146
ETo,1.0611,1987,19870531,151
ETo,1.0189,1987,19870605,156
ETo,1.2209,1987,19870610,161
ETo,1.2903,1987,19870615,166
ETo,1.233,1987,19870620,171
ETo,1.2168,1987,19870625,176
ETo,1.1755,1987,19870630,181
ETo,1.218,1987,19870705,186
ETo,1.0141,1987,19870710,191
ETo,1.2656,1987,19870715,196
ETo,1.0681,1987,19870720,201
ETo,1.2735,1987,19870725,206
ETo,1.3773,1987,19870730,211
ETo,1.2657,1987,19870804,216
ETo,1.2834,1987,19870809,221
ETo,1.04,1987,19870814,226
ETo,1.1209,1987,19870819,231
ETo,0.9474,1987,19870824,236
ETo,1.131,1987,19870829,241
ETo,0.9499,1987,19870903,246
ETo,0.9787,1987,19870908,251
ETo,0.9186,1987,19870913,256
ETo,0.8155,1987,19870918,261
ETo,0.7968,1987,19870923,266
ETo,0.6063,1987,19870928,271
ETo,0.7904,1987,19871003,276
ETo,0.6851,1987,19871008,281
ETo,0.5084,1987,19871013,286
ETo,0.4634,1987,19871018,291
ETo,0.3688,1987,19871023,296
ETo,0.2842,1987,19871028,301
ETo,0.2403,1987,19871102,306
ETo,0.2098,1987,19871107,311
ETo,0.1661,1987,19871112,316
ETo,0.1953,1987,19871117,321
ETo,0.1435,1987,19871122,326
ETo,0.1375,1987,19871127,331
ETo,0.2764,1987,19871202,336
ETo,0.2097,1987,19871207,341
ETo,0.133,1987,19871212,346
ETo,0.066,1987,19871217,351
ETo,0.0626,1987,19871222,356
ETo,0.0622,1987,19871227,361
ETo,0.076,1988,19880101,1
ETo,0.0761,1988,19880106,6
ETo,0.1528,1988,19880111,11
ETo,0.1019,1988,19880116,16
ETo,0.1034,1988,19880121,21
ETo,0.1735,1988,19880126,26
ETo,0.1553,1988,19880131,31
ETo,0.169,1988,19880205,36
ETo,0.2722,1988,19880210,41
ETo,0.3269,1988,19880215,46
ETo,0.2507,1988,19880220,51
ETo,0.2882,1988,19880225,56
ETo,0.3167,1988,19880301,61
ETo,0.3301,1988,19880306,66
ETo,0.3151,1988,19880311,71
ETo,0.5157,1988,19880316,76
ETo,0.55,1988,19880321,81
ETo,0.5106,1988,19880326,86
ETo,0.5471,1988,19880331,91
ETo,0.6798,1988,19880405,96
ETo,0.9172,1988,19880410,101
ETo,0.7584,1988,19880415,106
ETo,0.6713,1988,19880420,111
ETo,0.7947,1988,19880425,116
ETo,0.682,1988,19880430,121
ETo,0.7419,1988,19880505,126
ETo,1.0244,1988,19880510,131
ETo,1.0396,1988,19880515,136
ETo,1.1383,1988,19880520,141
ETo,1.1612,1988,19880525,146
ETo,0.7682,1988,19880530,151
ETo,1.4293,1988,19880604,156
ETo,1.2431,1988,19880609,161
ETo,1.412,1988,19880614,166
ETo,1.5244,1988,19880619,171
ETo,1.3895,1988,19880624,176
ETo,1.3653,1988,19880629,181
ETo,1.4169,1988,19880704,186
ETo,1.5047,1988,19880709,191
ETo,1.5439,1988,19880714,196
ETo,1.506,1988,19880719,201
ETo,1.4051,1988,19880724,206
ETo,1.5147,1988,19880729,211
ETo,1.1796,1988,19880803,216
ETo,1.2697,1988,19880808,221
ETo,1.376,1988,19880813,226
ETo,1.3567,1988,19880818,231
ETo,1.158,1988,19880823,236
ETo,1.1353,1988,19880828,241
ETo,1.1741,1988,19880902,246
ETo,1.0659,1988,19880907,251
ETo,0.7657,1988,19880912,256
ETo,0.6317,1988,19880917,261
ETo,0.8617,1988,19880922,266
ETo,0.6317,1988,19880927,271
ETo,0.6823,1988,19881002,276
ETo,0.6792,1988,19881007,281
ETo,0.6596,1988,19881012,286
ETo,0.4832,1988,19881017,291
ETo,0.5636,1988,19881022,296
ETo,0.4578,1988,19881027,301
ETo,0.3245,1988,19881101,306
ETo,0.2561,1988,19881106,311
ETo,0.1308,1988,19881111,316
ETo,0.1002,1988,19881116,321
ETo,0.1491,1988,19881121,326
ETo,0.0538,1988,19881126,331
ETo,0.1138,1988,19881201,336
ETo,0.0604,1988,19881206,341
ETo,0.0869,1988,19881211,346
ETo,0.0967,1988,19881216,351
ETo,0.0671,1988,19881221,356
ETo,0.0493,1988,19881226,361
ETo,0.0118,1988,19881231,366
ETo,0.083,1989,19890101,1
ETo,0.0569,1989,19890106,6
ETo,0.0707,1989,19890111,11
ETo,0.1231,1989,19890116,16
ETo,0.0988,1989,19890121,21
ETo,0.0921,1989,19890126,26
ETo,0.1276,1989,19890131,31
ETo,0.0954,1989,19890205,36
ETo,0.1288,1989,19890210,41
ETo,0.1686,1989,19890215,46
ETo,0.2465,1989,19890220,51
ETo,0.2863,1989,19890225,56
ETo,0.2247,1989,19890302,61
ETo,0.4477,1989,19890307,66
ETo,0.3467,1989,19890312,71
ETo,0.3451,1989,19890317,76
ETo,0.4467,1989,19890322,81
ETo,0.4539,1989,19890327,86
ETo,0.4893,1989,19890401,91
ETo,0.7655,1989,19890406,96
ETo,0.7515,1989,19890411,101
ETo,0.9279,1989,19890416,106
ETo,0.9447,1989,19890421,111
ETo,0.6412,1989,19890426,116
ETo,0.8711,1989,19890501,121
ETo,1.0635,1989,19890506,126
ETo,0.6961,1989,19890511,131
ETo,0.8528,1989,19890516,136
ETo,0.9635,1989,19890521,141
ETo,0.9502,1989,19890526,146
ETo,0.8772,1989,19890531,151
ETo,1.07,1989,19890605,156
ETo,1.1172,1989,19890610,161
ETo,1.3792,1989,19890615,166
ETo,0.8956,1989,19890620,171
ETo,1.395,1989,19890625,176
ETo,1.4441,1989,19890630,181
ETo,1.5678,1989,19890705,186
ETo,1.251,1989,19890710,191
ETo,1.3095,1989,19890715,196
ETo,1.2878,1989,19890720,201
ETo,1.3246,1989,19890725,206
ETo,1.4042,1989,19890730,211
ETo,1.1831,1989,19890804,216
ETo,1.0324,1989,19890809,221
ETo,1.1682,1989,19890814,226
ETo,1.0148,1989,19890819,231
ETo,0.7753,1989,19890824,236
ETo,1.1484,1989,19890829,241
ETo,1.0101,1989,19890903,246
ETo,0.7687,1989,19890908,251
ETo,0.9567,1989,19890913,256
ETo,0.6518,1989,19890918,261
ETo,0.853,1989,19890923,266
ETo,0.6908,1989,19890928,271
ETo,0.3787,1989,19891003,276
ETo,0.7044,1989,19891008,281
ETo,0.5028,1989,19891013,286
ETo,0.5987,1989,19891018,291
ETo,0.3299,1989,19891023,296
ETo,0.1844,1989,19891028,301
ETo,0.2785,1989,19891102,306
ETo,0.3551,1989,19891107,311
ETo,0.3398,1989,19891112,316
ETo,0.2188,1989,19891117,321
ETo,0.1778,1989,19891122,326
ETo,0.1211,1989,19891127,331
ETo,0.1585,1989,19891202,336
ETo,0.1888,1989,19891207,341
ETo,0.112,1989,19891212,346
ETo,0.0978,1989,19891217,351
ETo,0.0849,1989,19891222,356
ETo,0.0831,1989,19891227,361
ETo,0.0783,1990,19900101,1
ETo,0.1713,1990,19900106,6
ETo,0.1716,1990,19900111,11
ETo,0.1162,1990,19900116,16
ETo,0.1755,1990,19900121,21
ETo,0.289,1990,19900126,26
ETo,0.1951,1990,19900131,31
ETo,0.2236,1990,19900205,36
ETo,0.2556,1990,19900210,41
ETo,0.2229,1990,19900215,46
ETo,0.2466,1990,19900220,51
ETo,0.2352,1990,19900225,56
ETo,0.2556,1990,19900302,61
ETo,0.4063,1990,19900307,66
ETo,0.3619,1990,19900312,71
ETo,0.5837,1990,19900317,76
ETo,0.5588,1990,19900322,81
ETo,0.5534,1990,19900327,86
ETo,0.7553,1990,19900401,91
ETo,0.6243,1990,19900406,96
ETo,0.8154,1990,19900411,101
ETo,0.8637,1990,19900416,106
ETo,0.6446,1990,19900421,111
ETo,0.4543,1990,19900426,116
ETo,0.7879,1990,19900501,121
ETo,0.9322,1990,19900506,126
ETo,0.8673,1990,19900511,131
ETo,0.9482,1990,19900516,136
ETo,0.9089,1990,19900521,141
ETo,0.7468,1990,19900526,146
ETo,0.8729,1990,19900531,151
ETo,1.0742,1990,19900605,156
ETo,0.8662,1990,19900610,161
ETo,1.0654,1990,19900615,166
ETo,1.3948,1990,19900620,171
ETo,1.5845,1990,19900625,176
ETo,1.4255,1990,19900630,181
ETo,1.3749,1990,19900705,186
ETo,1.3133,1990,19900710,191
ETo,1.4023,1990,19900715,196
ETo,1.2284,1990,19900720,201
ETo,1.1434,1990,19900725,206
ETo,1.3308,1990,19900730,211
ETo,1.1745,1990,19900804,216
ETo,1.0894,1990,19900809,221
ETo,1.0365,1990,19900814,226
ETo,0.9195,1990,19900819,231
